Test Image,Best Match,Match Percentage,MatchPercentage Class,Confidence Score,Threshold
121.jpg,z.jpg,0.15035463597193255,z.jpg,40.31153684748454,0.2
112.jpg,tt.JPG,0.5850502819441552,tt.JPG,40.3147480625845,0.2
173.jpg,z.jpg,0.05718565109955842,z.jpg,40.2971594645116,0.2
256.JPG,u.jpg,0.43957437488461604,u.jpg,40.31746496765616,0.2
59.jpg,z.jpg,0.4213019971725189,z.jpg,40.311870314023864,0.2
153.jpg,z.jpg,0.6565837677136265,z.jpg,40.3128796336536,0.2
248.JPG,cc.JPG,0.024638076910862505,cc.JPG,40.3162814839695,0.2
223.JPG,yy.jpeg,0.2134700655920312,yy.jpeg,40.310358649920474,0.2
206.JPG,hh.JPG,0.7147622251886726,hh.JPG,40.30595383409966,0.2
51.JPG,z.jpg,0.3401672018405115,z.jpg,40.30907220561535,0.2
53.JPG,tt.JPG,0.4269869386001982,tt.JPG,40.31021167513988,0.2
10.jpg,z.jpg,0.35509776447366426,z.jpg,40.30947457353379,0.2
253.JPG,q.jpg,0.7712289503401341,q.jpg,40.30513326318452,0.2
300.JPG,tt.JPG,0.5818822423909414,tt.JPG,40.31329338908,0.2
127.jpg,z.jpg,0.062283938427852736,z.jpg,40.31198847639622,0.2
124.jpg,u.jpg,0.362539540778952,u.jpg,40.310947953026094,0.2
96.jpg,cc.JPG,0.1949782953616055,cc.JPG,40.31099564515751,0.2
64.jpg,z.jpg,0.1591293016443711,z.jpg,40.31449760010273,0.2
67.jpg,u.jpg,0.1953955731479522,u.jpg,40.31173746784138,0.2
117.jpg,tt.JPG,0.2765618010463877,tt.JPG,40.31424075791069,0.2
114.jpg,m.jpg,0.958366387906747,m.jpg,40.30329786498554,0.2
310.JPG,cc.JPG,0.3192442713258903,cc.JPG,40.30866973761113,0.2
137.jpg,u.jpg,0.20479558384352992,u.jpg,40.3110854876295,0.2
274.JPG,j.JPG,0.43485913648684393,j.JPG,40.30616031334392,0.2
263.JPG,tt.JPG,0.252695311341526,tt.JPG,40.309912006771285,0.2
235.JPG,tt.JPG,0.2695650007625151,tt.JPG,40.313780554905875,0.2
16.jpg,cc.JPG,0.30217437103527844,cc.JPG,40.313115556190375,0.2
139.jpg,z.jpg,0.49432533890501196,z.jpg,40.316540632607115,0.2
128.jpg,cc.JPG,0.9234548883084303,cc.JPG,40.30722193405846,0.2
213.JPG,tt.JPG,0.38698775967124455,tt.JPG,40.315881793992816,0.2
