Test Image,Best Match,Match Percentage,MatchPercentage Class,Threshold
135.jpg,class_5,0.1471406771628131,class_5,0.5
303.JPG,class_5,0.8201045891261466,class_5,0.5
94.jpg,class_5,0.917277421266331,class_5,0.5
247.JPG,class_5,0.6611948666596794,class_5,0.5
146.jpg,class_4,0.7890091762453686,class_4,0.5
225.JPG,class_5,0.3769553544968268,class_5,0.5
133.jpg,class_5,0.3517143089957451,class_5,0.5
100.jpg,class_4,0.8071369415059096,class_4,0.5
297.JPG,class_5,0.9638115937215583,class_5,0.5
257.JPG,class_5,0.3057562452372877,class_5,0.5
11.jpg,class_2,0.8029152946749144,class_2,0.5
27.jpg,class_4,0.7589232628572893,class_4,0.5
71.jpg,class_4,0.7265524498055158,class_4,0.5
264.JPG,class_4,0.8076629552797874,class_4,0.5
7.jpg,class_4,0.5050449736126799,class_4,0.5
308.JPG,class_5,0.8004321288449949,class_5,0.5
134.jpg,class_4,0.4895047529441502,class_4,0.5
289.JPG,class_1,0.6462475752151406,class_1,0.5
187.JPG,class_5,0.2849022566094781,class_5,0.5
301.JPG,class_4,0.3388352198636355,class_4,0.5
15.jpg,class_3,0.987651876984366,class_3,0.5
115.jpg,class_4,0.7343821676419513,class_4,0.5
126.jpg,class_4,0.6910608976089175,class_4,0.5
249.JPG,class_4,0.8628335436791716,class_4,0.5
210.JPG,class_4,0.059430732176368184,class_4,0.5
110.jpg,class_4,0.8188645513057546,class_4,0.5
222.JPG,class_5,0.21298737361584352,class_5,0.5
97.jpg,class_4,0.3211373641633878,class_4,0.5
220.JPG,class_5,0.895944236123262,class_5,0.5
269.JPG,class_5,0.16619292906888294,class_5,0.5
172.jpg,class_5,0.8987497288443584,class_5,0.5
23.jpg,class_1,0.8955336870573584,class_1,0.5
24.jpg,class_5,0.44993948650015514,class_5,0.5
75.jpg,class_4,0.7737815857960136,class_4,0.5
168.jpg,class_5,0.3591331325935323,class_5,0.5
161.jpg,class_4,0.7285467740221738,class_4,0.5
232.JPG,class_5,0.43881397118569876,class_5,0.5
101.jpg,class_4,0.4463723594278943,class_4,0.5
35.jpg,class_4,0.534242759236487,class_4,0.5
13.jpg,class_4,0.15322252286816063,class_4,0.5
82.jpg,class_4,0.24128845396439458,class_4,0.5
52.JPG,class_3,0.9480284642903437,class_3,0.5
262.JPG,class_5,0.6607110668129577,class_5,0.5
178.JPG,class_1,0.09110061510557976,class_1,0.5
141.jpg,class_4,0.7727422151536558,class_4,0.5
18.jpg,class_5,0.4463467954074387,class_5,0.5
149.jpg,class_5,0.5359162157230174,class_5,0.5
176.jpg,class_1,0.5519211136913292,class_1,0.5
239.JPG,class_5,0.19306678127723864,class_5,0.5
278.jpg,class_5,0.6310593520423978,class_5,0.5
116.jpg,class_4,0.38209176954059265,class_4,0.5
267.JPG,class_5,0.14643399944418845,class_5,0.5
155.jpg,class_5,0.7966109145806594,class_5,0.5
171.jpg,class_4,0.9218299596624574,class_4,0.5
165.jpg,class_4,0.332796446361151,class_4,0.5
305.JPG,class_5,0.43365264690276095,class_5,0.5
175.jpg,class_5,0.1015559725837466,class_5,0.5
195.JPG,class_4,0.6907273527308028,class_4,0.5
73.jpg,class_5,0.968979537622617,class_5,0.5
9.jpg,class_2,0.8120310003065933,class_2,0.5
29.jpg,class_4,0.510588037438139,class_4,0.5
130.jpg,class_4,0.11917947302595688,class_4,0.5
296.JPG,class_4,0.02291021317498132,class_4,0.5
28.jpg,class_5,0.9611569209858882,class_5,0.5
164.jpg,class_3,0.1882698185745949,class_3,0.5
163.jpg,class_4,0.22933872019437973,class_4,0.5
259.JPG,class_4,0.0738867100573547,class_4,0.5
118.jpg,class_5,0.5133679130302444,class_5,0.5
76.jpg,class_3,0.744445642319457,class_3,0.5
14.jpg,class_3,0.7177588215501532,class_3,0.5
49.JPG,class_5,0.11359532209285739,class_5,0.5
304.JPG,class_5,0.6324179074030211,class_5,0.5
276.JPG,class_5,0.369413476555151,class_5,0.5
170.jpg,class_4,0.9687131551390633,class_4,0.5
162.jpg,class_4,0.2037042888185583,class_4,0.5
287.JPG,class_4,0.7255502536732648,class_4,0.5
145.jpg,class_5,0.14563816496535287,class_5,0.5
142.jpg,class_4,0.01467132951078809,class_4,0.5
199.JPG,class_4,0.43566324218410624,class_4,0.5
202.JPG,class_5,0.1513819330235504,class_5,0.5
129.jpg,class_4,0.4554146488743518,class_4,0.5
295.JPG,class_4,0.44106928130679435,class_4,0.5
227.JPG,class_2,0.9555394795858002,class_2,0.5
184.JPG,class_4,0.45178253217578257,class_4,0.5
234.JPG,class_4,0.6967903597132903,class_4,0.5
119.jpg,class_1,0.0029234992572281238,class_1,0.5
5.JPG,class_1,0.6165271686308055,class_1,0.5
191.JPG,class_5,0.23063847638000734,class_5,0.5
89.jpg,class_4,0.40259941756020257,class_4,0.5
30.jpg,class_5,0.6023407290380752,class_5,0.5
156.jpg,class_3,0.3214239839548936,class_3,0.5
299.JPG,class_5,0.7236725916196587,class_5,0.5
95.jpg,class_5,0.07412476230103904,class_5,0.5
214.JPG,class_5,0.8874954720826597,class_5,0.5
283.JPG,class_5,0.08660863648516248,class_5,0.5
87.jpg,class_4,0.39170652924747595,class_4,0.5
160.jpg,class_4,0.8630986962109206,class_4,0.5
104.jpg,class_5,0.4515120747407846,class_5,0.5
229.JPG,class_5,0.8545748477181185,class_5,0.5
307.jpg,class_3,0.23296139978103392,class_3,0.5
215.JPG,class_1,0.9656910453241668,class_1,0.5
273.JPG,class_5,0.28543902486801953,class_5,0.5
226.JPG,class_5,0.8027944434056038,class_5,0.5
280.jpg,class_4,0.24530894517228463,class_4,0.5
125.jpg,class_5,0.6570182232359663,class_5,0.5
294.JPG,class_5,0.3184917734048559,class_5,0.5
251.JPG,class_5,0.3356896408436143,class_5,0.5
261.JPG,class_5,0.32876214809824833,class_5,0.5
290.JPG,class_5,0.1506985982773188,class_5,0.5
37.jpg,class_4,0.7293471676851337,class_4,0.5
275.JPG,class_5,0.9460293288490037,class_5,0.5
143.jpg,class_4,0.7892309390724044,class_4,0.5
292.JPG,class_5,0.18045037373177897,class_5,0.5
221.JPG,class_4,0.7846995095338072,class_4,0.5
151.jpg,class_4,0.13029259887923506,class_4,0.5
136.jpg,class_4,0.289302806737223,class_4,0.5
183.JPG,class_4,0.4088258920007771,class_4,0.5
242.JPG,class_1,0.202745580222087,class_1,0.5
122.jpg,class_4,0.12132307618554028,class_4,0.5
271.JPG,class_4,0.09226788833299182,class_4,0.5
302.JPG,class_5,0.3248626070689232,class_5,0.5
285.JPG,class_5,0.7064220341635274,class_5,0.5
88.jpg,class_1,0.38010924019850856,class_1,0.5
233.JPG,class_5,0.21387544843145856,class_5,0.5
99.jpg,class_3,0.8762463891859575,class_3,0.5
78.jpg,class_5,0.39105130922970543,class_5,0.5
123.jpg,class_5,0.294801496851945,class_5,0.5
212.JPG,class_4,0.5349054325276481,class_4,0.5
179.JPG,class_3,0.8098079866397959,class_3,0.5
147.jpg,class_4,0.5095201509057495,class_4,0.5
224.JPG,class_4,0.06292886347543036,class_4,0.5
204.JPG,class_5,0.3962440710295996,class_5,0.5
279.jpg,class_5,0.047405590835322475,class_5,0.5
288.JPG,class_5,0.1408310760790441,class_5,0.5
186.JPG,class_5,0.07015862101415993,class_5,0.5
79.jpg,class_4,0.12321178779760811,class_4,0.5
21.jpg,class_4,0.9763473871351078,class_4,0.5
286.JPG,class_4,0.0803230705090634,class_4,0.5
65.jpg,class_4,0.2920875335895028,class_4,0.5
56.JPG,class_5,0.7445177464624942,class_5,0.5
158.jpg,class_5,0.13592192087758947,class_5,0.5
120.jpg,class_4,0.10688499158317899,class_4,0.5
77.jpg,class_5,0.04944011161348527,class_5,0.5
34.jpg,class_4,0.021632374632736817,class_4,0.5
282.jpg,class_5,0.1022060165607438,class_5,0.5
154.jpg,class_4,0.16513966354898812,class_4,0.5
189.JPG,class_5,0.11563124822025472,class_5,0.5
254.JPG,class_5,0.6890217396058455,class_5,0.5
50.JPG,class_4,0.6320893892323336,class_4,0.5
90.jpg,class_4,0.9181631278335151,class_4,0.5
250.JPG,class_5,0.9335789937430156,class_5,0.5
86.jpg,class_4,0.01945646069084017,class_4,0.5
102.jpg,class_1,0.9905860757981968,class_1,0.5
83.jpg,class_4,0.3218100651748941,class_4,0.5
106.jpg,class_5,0.9996975369706707,class_5,0.5
312.JPG,class_4,0.1727002998540893,class_4,0.5
193.JPG,class_1,0.5680095308117425,class_1,0.5
217.JPG,class_5,0.49187975953694596,class_5,0.5
255.JPG,class_5,0.6993351163006265,class_5,0.5
291.JPG,class_5,0.3744119697763356,class_5,0.5
144.jpg,class_4,0.48219362141074595,class_4,0.5
309.JPG,class_5,0.02156099436245884,class_5,0.5
207.JPG,class_5,0.6181701553398373,class_5,0.5
31.jpg,class_4,0.7045551729590231,class_4,0.5
159.jpg,class_4,0.2603761562473692,class_4,0.5
39.jpg,class_4,0.9926585873313548,class_4,0.5
196.JPG,class_1,0.5681363848221205,class_1,0.5
121.jpg,class_5,0.6590334323200722,class_5,0.5
112.jpg,class_5,0.974015978783412,class_5,0.5
173.jpg,class_4,0.02031241137394102,class_4,0.5
256.JPG,class_1,0.23071388500261336,class_1,0.5
59.jpg,class_5,0.2637935768199893,class_5,0.5
153.jpg,class_4,0.4119412014801388,class_4,0.5
248.JPG,class_5,0.277845266232126,class_5,0.5
223.JPG,class_4,0.4691725146765503,class_4,0.5
206.JPG,class_5,0.7432387287042308,class_5,0.5
51.JPG,class_5,0.697798390513338,class_5,0.5
53.JPG,class_5,0.16207128007417104,class_5,0.5
10.jpg,class_2,0.6776324955178284,class_2,0.5
253.JPG,class_5,0.7522504834305908,class_5,0.5
300.JPG,class_5,0.5478426658751439,class_5,0.5
127.jpg,class_4,0.2710883239538613,class_4,0.5
124.jpg,class_4,0.45747638559249093,class_4,0.5
96.jpg,class_5,0.868848586101528,class_5,0.5
64.jpg,class_4,0.15530682330773238,class_4,0.5
67.jpg,class_5,0.5366759365680912,class_5,0.5
117.jpg,class_5,0.8976317152306093,class_5,0.5
114.jpg,class_4,0.1846600212729983,class_4,0.5
310.JPG,class_1,0.5274161686877125,class_1,0.5
137.jpg,class_5,0.9056590441420767,class_5,0.5
274.JPG,class_5,0.2316624455557339,class_5,0.5
263.JPG,class_4,0.03800966332093447,class_4,0.5
235.JPG,class_4,0.5758866956324492,class_4,0.5
16.jpg,class_3,0.9272624351896193,class_3,0.5
139.jpg,class_5,0.8188155957346004,class_5,0.5
128.jpg,class_1,0.8732377800589954,class_1,0.5
213.JPG,class_1,0.8202955015594136,class_1,0.5
80.jpg,class_4,0.8563408057555802,class_4,0.5
148.jpg,class_5,0.9763956320441869,class_5,0.5
197.JPG,class_1,0.7604190289348597,class_1,0.5
177.jpeg,class_5,0.8347630180447104,class_5,0.5
238.JPG,class_5,0.46132226725567105,class_5,0.5
174.jpg,class_5,0.04525947819874887,class_5,0.5
19.jpg,class_5,0.44868659159471924,class_5,0.5
152.jpg,class_4,0.9749656718865538,class_4,0.5
258.JPG,class_5,0.5183964045924853,class_5,0.5
216.JPG,class_1,0.8634742410205177,class_1,0.5
298.JPG,class_5,0.10279463589935611,class_5,0.5
22.jpg,class_4,0.4503810331369169,class_4,0.5
85.jpg,class_4,0.3920662979060685,class_4,0.5
54.JPG,class_5,0.522509762778272,class_5,0.5
306.JPG,class_5,0.4589387008311975,class_5,0.5
4.JPG,class_1,0.8270955609916963,class_1,0.5
231.JPG,class_4,0.6660608153737481,class_4,0.5
41.JPG,class_5,0.9804965430026413,class_5,0.5
260.JPG,class_5,0.8195998598672362,class_5,0.5
132.jpg,class_4,0.7381259429994699,class_4,0.5
270.JPG,class_5,0.883688194307289,class_5,0.5
241.JPG,class_2,0.7953436966497517,class_2,0.5
